DistrictCode,DistrictName,SchoolCode,SchoolName,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate
23311.0,Mary M Knight School District,3495.0,Mary M Knight High School (Closed after 2015-2016 school year),1.0,,,,,,1.0,0.0,0.0,0.0,0.0,
23311.0,Mary M Knight School District,5444.0,Mary M. Knight School,10.0,2.0,,,,2.0,1.0,11.0,9.0,0.0,2.0,0.8182
33207.0,Mary Walker School District,3311.0,Mary Walker High School,40.0,9.0,,2.0,1.0,4.0,7.0,42.0,33.0,2.0,7.0,0.7857
33207.0,Mary Walker School District,3894.0,Springdale Middle School,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,
31025.0,Marysville School District,5210.0,Bio Med Academy (Closed after 2016-2017 school year),7.0,2.0,,,,,9.0,0.0,0.0,0.0,0.0,
31025.0,Marysville School District,1657.0,Heritage School,21.0,4.0,,2.0,4.0,3.0,4.0,21.0,4.0,8.0,9.0,0.1905
31025.0,Marysville School District,1927.0,Legacy High School,89.0,11.0,2.0,1.0,3.0,3.0,9.0,91.0,60.0,22.0,9.0,0.6593
31025.0,Marysville School District,5478.0,Marysville Getchell High School,389.0,35.0,,,9.0,29.0,23.0,401.0,345.0,18.0,38.0,0.8603
31025.0,Marysville School District,4233.0,Marysville Mountain View High School (Closed after 2017-2018 school year),12.0,2.0,,4.0,4.0,,4.0,10.0,2.0,0.0,8.0,0.2
31025.0,Marysville School District,5213.0,Marysville Pilchuck High School,291.0,26.0,1.0,7.0,7.0,25.0,24.0,293.0,222.0,31.0,40.0,0.7577
31025.0,Marysville School District,5214.0,School for the Entrepreneur (Closed after 2016-2017 school year),3.0,,,,,,3.0,0.0,0.0,0.0,0.0,
31025.0,Marysville School District,1744.0,School Home Partnership Program,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,
32354.0,Mead School District,1803.0,Mead Alternative High School (Closed after 2018-2019 school year),25.0,11.0,,,,3.0,6.0,30.0,20.0,7.0,3.0,0.6667
32354.0,Mead School District,2402.0,Mead Senior High School,401.0,47.0,,,2.0,3.0,43.0,405.0,381.0,19.0,5.0,0.9407
32354.0,Mead School District,4491.0,Mt Spokane High School,351.0,50.0,,,1.0,4.0,36.0,365.0,344.0,16.0,5.0,0.9425
32326.0,Medical Lake School District,5042.0,Medical Lake Endeavors,14.0,1.0,,2.0,,1.0,1.0,14.0,6.0,5.0,3.0,0.4286
32326.0,Medical Lake School District,2890.0,Medical Lake High School,136.0,21.0,,1.0,1.0,1.0,27.0,130.0,127.0,0.0,3.0,0.9769
17400.0,Mercer Island School District,3029.0,Mercer Island High School,398.0,48.0,,4.0,4.0,6.0,35.0,411.0,382.0,15.0,14.0,0.9294
37505.0,Meridian School District,2554.0,Meridian High School,130.0,18.0,,1.0,3.0,8.0,15.0,133.0,114.0,7.0,12.0,0.8571
31103.0,Monroe School District,1806.0,Leaders In Learning,33.0,3.0,,,3.0,4.0,4.0,32.0,15.0,10.0,7.0,0.4688
31103.0,Monroe School District,4528.0,Monroe High School,383.0,40.0,1.0,3.0,9.0,11.0,44.0,379.0,325.0,30.0,24.0,0.8575
31103.0,Monroe School District,1777.0,Sky Valley Education Center,68.0,7.0,1.0,2.0,,1.0,13.0,62.0,54.0,4.0,4.0,0.871
14066.0,Montesano School District,2180.0,Montesano Jr-Sr High,62.0,8.0,,,,3.0,11.0,59.0,48.0,8.0,3.0,0.8136
21214.0,Morton School District,3112.0,Morton Junior-Senior High,23.0,4.0,,1.0,,3.0,3.0,24.0,18.0,2.0,4.0,0.75
13161.0,Moses Lake School District,3215.0,Moses Lake High School,503.0,70.0,2.0,9.0,17.0,25.0,90.0,483.0,395.0,35.0,53.0,0.8178
13161.0,Moses Lake School District,5323.0,Skill Source Reingagement Program,97.0,19.0,,2.0,6.0,58.0,2.0,114.0,24.0,24.0,66.0,0.2105
39209.0,Mount Adams School District,2532.0,White Swan High School,56.0,8.0,,4.0,4.0,8.0,6.0,58.0,40.0,2.0,16.0,0.6897
37507.0,Mount Baker School District,5112.0,Mount Baker Academy,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,
37507.0,Mount Baker School District,2343.0,Mount Baker Senior High,156.0,21.0,5.0,3.0,5.0,10.0,26.0,151.0,114.0,14.0,23.0,0.755
29320.0,Mount Vernon School District,2295.0,Mount Vernon High School,474.0,53.0,3.0,18.0,8.0,39.0,37.0,490.0,394.0,28.0,68.0,0.8041
29320.0,Mount Vernon School District,1992.0,Skagit Academy,19.0,3.0,,,,,2.0,20.0,17.0,3.0,0.0,0.85
17903.0,Muckleshoot Indian Tribe,1986.0,Muckleshoot Tribal School,40.0,3.0,1.0,,3.0,3.0,1.0,42.0,31.0,4.0,7.0,0.7381
31006.0,Mukilteo School District,4247.0,ACES High School,73.0,11.0,,1.0,4.0,8.0,9.0,75.0,43.0,19.0,13.0,0.5733
31006.0,Mukilteo School District,4433.0,Kamiak High School,465.0,51.0,2.0,3.0,1.0,11.0,50.0,466.0,434.0,15.0,17.0,0.9313
31006.0,Mukilteo School District,3688.0,Mariner High School,464.0,98.0,3.0,1.0,11.0,34.0,80.0,482.0,394.0,39.0,49.0,0.8174
31006.0,Mukilteo School District,5498.0,Mukilteo Reengagement Academy Open Doors,33.0,7.0,,,4.0,13.0,3.0,37.0,4.0,16.0,17.0,0.1081
39003.0,Naches Valley School District,2591.0,Naches Valley High School,101.0,6.0,,2.0,2.0,1.0,10.0,97.0,89.0,3.0,5.0,0.9175
21014.0,Napavine School District,2273.0,Napavine Jr Sr High School,65.0,5.0,,,,1.0,12.0,58.0,54.0,3.0,1.0,0.9309999999999999
26056.0,Newport School District,2518.0,Newport High School,69.0,20.0,4.0,,4.0,1.0,23.0,66.0,57.0,0.0,9.0,0.8636
26056.0,Newport School District,5118.0,Pend Oreille River School,19.0,7.0,,,3.0,1.0,1.0,25.0,16.0,5.0,4.0,0.64
32325.0,Nine Mile Falls School District,4333.0,Lakeside High School,118.0,11.0,,,1.0,4.0,15.0,114.0,107.0,2.0,5.0,0.9386
37506.0,Nooksack Valley School District,2459.0,Nooksack Valley High School,97.0,14.0,,,2.0,13.0,12.0,99.0,82.0,2.0,15.0,0.8283
14064.0,North Beach School District No. 64,2728.0,North Beach Senior High School,37.0,9.0,,,,6.0,5.0,41.0,35.0,0.0,6.0,0.8537
11051.0,North Franklin School District,1754.0,Palouse Junction High School,14.0,1.0,,,,2.0,1.0,14.0,12.0,0.0,2.0,0.8571
18400.0,North Kitsap School District,5085.0,Kingston High School,203.0,25.0,,1.0,2.0,3.0,35.0,193.0,181.0,6.0,6.0,0.9378
18400.0,North Kitsap School District,3236.0,North Kitsap High School,294.0,54.0,,1.0,,3.0,52.0,296.0,288.0,4.0,4.0,0.973
23403.0,North Mason School District,1680.0,James A. Taylor High School,18.0,1.0,,1.0,1.0,3.0,1.0,18.0,5.0,8.0,5.0,0.2778
23403.0,North Mason School District,3175.0,North Mason Senior High School,158.0,28.0,2.0,3.0,2.0,10.0,13.0,173.0,148.0,8.0,17.0,0.8555
34003.0,North Thurston Public Schools,3010.0,North Thurston High School,303.0,67.0,3.0,1.0,3.0,18.0,63.0,307.0,265.0,17.0,25.0,0.8632
34003.0,North Thurston Public Schools,4427.0,River Ridge High School,304.0,73.0,2.0,3.0,7.0,7.0,57.0,320.0,280.0,21.0,19.0,0.875
34003.0,North Thurston Public Schools,4314.0,South Sound High School,64.0,13.0,,,1.0,11.0,0.0,77.0,48.0,17.0,12.0,0.6234
34003.0,North Thurston Public Schools,3710.0,Timberline High School,381.0,61.0,,2.0,3.0,4.0,88.0,354.0,337.0,8.0,9.0,0.9520000000000001
33211.0,Northport School District,2958.0,Northport High School,16.0,5.0,,,1.0,1.0,2.0,19.0,13.0,4.0,2.0,0.6842
17417.0,Northshore School District,3106.0,Bothell High School,297.0,34.0,,3.0,4.0,9.0,20.0,311.0,280.0,15.0,16.0,0.9003
17417.0,Northshore School District,3492.0,Inglemoor HS,406.0,42.0,,3.0,1.0,4.0,22.0,426.0,412.0,6.0,8.0,0.9671
17417.0,Northshore School District,3345.0,Kenmore Middle School,3.0,,,,,,3.0,0.0,0.0,0.0,0.0,
